nu_m2_per_s,U_inf_m_per_s,x_m,Re_x,delta99_m
1e-05,0.1,0.838345864661654,8383.45864661654,0.0450481246428149
1e-05,0.1,0.849624060150376,8496.24060150376,0.0453501266256491
1e-05,0.1,0.860902255639098,8609.02255639098,0.0456501307346455
1e-05,0.1,0.87218045112782,8721.8045112782,0.0459481761032801
1e-05,0.1,0.883458646616541,8834.58646616541,0.0462443006039216
1e-05,0.1,0.894736842105263,8947.36842105263,0.0465385409040043
1e-05,0.1,0.906015037593985,9060.15037593985,0.0468309325190253
1e-05,0.1,0.917293233082707,9172.93233082707,0.0471215098625811
1e-05,0.1,0.928571428571429,9285.71428571429,0.047410306293644
1e-05,0.1,0.93984962406015,9398.49624060151,0.0476973541612631
1e-05,0.1,0.951127819548872,9511.27819548872,0.0479826848468568
1e-05,0.1,0.962406015037594,9624.06015037594,0.0482663288042565
1e-05,0.1,0.973684210526316,9736.84210526316,0.0485483155976438
1e-05,0.1,0.984962406015038,9849.62406015038,0.0488286739375159
1e-05,0.1,0.996240601503759,9962.4060150376,0.0491074317148032
1e-05,0.1,1.00751879699248,10075.1879699248,0.0493846160332535
1e-05,0.1,1.0187969924812,10187.969924812,0.049660253240189
1e-05,0.1,1.03007518796992,10300.7518796992,0.0499343689557355
1e-05,0.1,1.04135338345865,10413.5338345865,0.0502069881006154
1e-05,0.1,1.05263157894737,10526.3157894737,0.0504781349225896
1e-05,0.1,1.06390977443609,10639.0977443609,0.0507478330216274
1e-05,0.1,1.07518796992481,10751.8796992481,0.0510161053738797
1e-05,0.1,1.08646616541353,10864.6616541353,0.0512829743545225
1e-05,0.1,1.09774436090226,10977.4436090226,0.0515484617595369
1e-05,0.1,1.10902255639098,11090.2255639098,0.0518125888264836
1e-05,0.1,1.1203007518797,11203.007518797,0.0520753762543304
1e-05,0.1,1.13157894736842,11315.7894736842,0.0523368442223821
1e-05,0.1,1.14285714285714,11428.5714285714,0.0525970124083651
1e-05,0.1,1.15413533834586,11541.3533834586,0.0528559000057092
1e-05,0.1,1.16541353383459,11654.1353383459,0.0531135257400726
1e-05,0.1,1.17669172932331,11766.9172932331,0.0533699078851479
1e-05,0.1,1.18796992481203,11879.6992481203,0.0536250642777889
1e-05,0.1,1.19924812030075,11992.4812030075,0.0538790123324919
1e-05,0.1,1.21052631578947,12105.2631578947,0.0541317690552658
1e-05,0.1,1.2218045112782,12218.045112782,0.0543833510569223
1e-05,0.1,1.23308270676692,12330.8270676692,0.0546337745658148
1e-05,0.1,1.24436090225564,12443.6090225564,0.0548830554400544
1e-05,0.1,1.25563909774436,12556.3909774436,0.0551312091792291
1e-05,0.1,1.26691729323308,12669.1729323308,0.0553782509356492
1e-05,0.1,1.2781954887218,12781.954887218,0.0556241955251449
1e-05,0.1,1.28947368421053,12894.7368421053,0.0558690574374346
1e-05,0.1,1.30075187969925,13007.5187969925,0.0561128508460868
1e-05,0.1,1.31203007518797,13120.3007518797,0.0563555896180939
1e-05,0.1,1.32330827067669,13233.0827067669,0.0565972873230761
1e-05,0.1,1.33458646616541,13345.8646616541,0.0568379572421339
1e-05,0.1,1.34586466165414,13458.6466165414,0.057077612376364
1e-05,0.1,1.35714285714286,13571.4285714286,0.0573162654550546
1e-05,0.1,1.36842105263158,13684.2105263158,0.0575539289435752
1e-05,0.1,1.3796992481203,13796.992481203,0.0577906150509745
1e-05,0.1,1.39097744360902,13909.7744360902,0.058026335737299
1e-05,0.1,1.40225563909774,14022.5563909774,0.0582611027206451
1e-05,0.1,1.41353383458647,14135.3383458647,0.058494927483957
1e-05,0.1,1.42481203007519,14248.1203007519,0.05872782128158
1e-05,0.1,1.43609022556391,14360.9022556391,0.0589597951455822
1e-05,0.1,1.44736842105263,14473.6842105263,0.0591908598918519
1e-05,0.1,1.45864661654135,14586.4661654135,0.0594210261259822
1e-05,0.1,1.46992481203008,14699.2481203008,0.0596503042489515
1e-05,0.1,1.4812030075188,14812.030075188,0.0598787044626076
1e-05,0.1,1.49248120300752,14924.8120300752,0.0601062367749647
1e-05,0.1,1.50375939849624,15037.5939849624,0.0603329110053206
1e-05,0.1,1.51503759398496,15150.3759398496,0.0605587367892013
1e-05,0.1,1.52631578947368,15263.1578947368,0.0607837235831401
1e-05,0.1,1.53759398496241,15375.9398496241,0.0610078806692988
1e-05,0.1,1.54887218045113,15488.7218045113,0.0612312171599358
1e-05,0.1,1.56015037593985,15601.5037593985,0.0614537420017287
1e-05,0.1,1.57142857142857,15714.2857142857,0.0616754639799561
1e-05,0.1,1.58270676691729,15827.0676691729,0.0618963917225445
1e-05,0.1,1.59398496240601,15939.8496240602,0.0621165337039865
1e-05,0.1,1.60526315789474,16052.6315789474,0.0623358982491334
1e-05,0.1,1.61654135338346,16165.4135338346,0.0625544935368686
1e-05,0.1,1.62781954887218,16278.1954887218,0.0627723276036659
1e-05,0.1,1.6390977443609,16390.977443609,0.062989408347037
1e-05,0.1,1.65037593984962,16503.7593984962,0.0632057435288724
1e-05,0.1,1.66165413533835,16616.5413533835,0.0634213407786796
1e-05,0.1,1.67293233082707,16729.3233082707,0.063636207596723
1e-05,0.1,1.68421052631579,16842.1052631579,0.0638503513570681
1e-05,0.1,1.69548872180451,16954.8872180451,0.0640637793105345
1e-05,0.1,1.70676691729323,17067.6691729323,0.0642764985875607
1e-05,0.1,1.71804511278195,17180.4511278196,0.0644885162009835
1e-05,0.1,1.72932330827068,17293.2330827068,0.0646998390487359
1e-05,0.1,1.7406015037594,17406.015037594,0.0649104739164655
1e-05,0.1,1.75187969924812,17518.7969924812,0.065120427480077
1e-05,0.1,1.76315789473684,17631.5789473684,0.0653297063082009
1e-05,0.1,1.77443609022556,17744.3609022556,0.0655383168645916
1e-05,0.1,1.78571428571429,17857.1428571429,0.0657462655104564
1e-05,0.1,1.79699248120301,17969.9248120301,0.0659535585067193
1e-05,0.1,1.80827067669173,18082.7067669173,0.0661602020162202
1e-05,0.1,1.81954887218045,18195.4887218045,0.0663662021058527
1e-05,0.1,1.83082706766917,18308.2706766917,0.0665715647486426
1e-05,0.1,1.84210526315789,18421.052631579,0.0667762958257683
1e-05,0.1,1.85338345864662,18533.8345864662,0.0669804011285267
1e-05,0.1,1.86466165413534,18646.6165413534,0.0671838863602439
1e-05,0.1,1.87593984962406,18759.3984962406,0.067386757138135
1e-05,0.1,1.88721804511278,18872.1804511278,0.0675890189951134
1e-05,0.1,1.8984962406015,18984.962406015,0.0677906773815517
1e-05,0.1,1.90977443609023,19097.7443609023,0.0679917376669948
1e-05,0.1,1.92105263157895,19210.5263157895,0.0681922051418288
1e-05,0.1,1.93233082706767,19323.3082706767,0.0683920850189046
1e-05,0.1,1.94360902255639,19436.0902255639,0.0685913824351201
1e-05,0.1,1.95488721804511,19548.8721804511,0.0687901024529599
1e-05,0.1,1.96616541353383,19661.6541353383,0.0689882500619964
1e-05,0.1,1.97744360902256,19774.4360902256,0.069185830180351
1e-05,0.1,1.98872180451128,19887.2180451128,0.0693828476561187
1e-05,0.1,2,20000,0.0695793072687563
1e-05,0.1,2.01127819548872,20112.7819548872,0.0697752137304345
1e-05,0.1,2.02255639097744,20225.5639097744,0.0699705716873575
1e-05,0.1,2.03383458646617,20338.3458646617,0.0701653857210481
1e-05,0.1,2.04511278195489,20451.1278195489,0.0703596603496014
1e-05,0.1,2.05639097744361,20563.9097744361,0.0705534000289079
1e-05,0.1,2.06766917293233,20676.6917293233,0.0707466091538451
1e-05,0.1,2.07894736842105,20789.4736842105,0.0709392920594415
1e-05,0.1,2.09022556390977,20902.2556390977,0.071131453022011
1e-05,0.1,2.1015037593985,21015.037593985,0.0713230962602604
1e-05,0.1,2.11278195488722,21127.8195488722,0.0715142259363701
1e-05,0.1,2.12406015037594,21240.6015037594,0.0717048461570486
1e-05,0.1,2.13533834586466,21353.3834586466,0.0718949609745623
1e-05,0.1,2.14661654135338,21466.1654135338,0.0720845743877402
1e-05,0.1,2.15789473684211,21578.9473684211,0.0722736903429559
1e-05,0.1,2.16917293233083,21691.7293233083,0.0724623127350852
1e-05,0.1,2.18045112781955,21804.5112781955,0.0726504454084427
1e-05,0.1,2.19172932330827,21917.2932330827,0.0728380921576954
1e-05,0.1,2.20300751879699,22030.0751879699,0.0730252567287562
1e-05,0.1,2.21428571428571,22142.8571428571,0.073211942819656
1e-05,0.1,2.22556390977444,22255.6390977444,0.0733981540813963
1e-05,0.1,2.23684210526316,22368.4210526316,0.0735838941187826
1e-05,0.1,2.24812030075188,22481.2030075188,0.0737691664912383
1e-05,0.1,2.2593984962406,22593.984962406,0.0739539747136004
1e-05,0.1,2.27067669172932,22706.7669172932,0.0741383222568981
1e-05,0.1,2.28195488721805,22819.5488721805,0.0743222125491127
1e-05,0.1,2.29323308270677,22932.3308270677,0.074505648975922
1e-05,0.1,2.30451127819549,23045.1127819549,0.0746886348814271
1e-05,0.1,2.31578947368421,23157.8947368421,0.0748711735688639
1e-05,0.1,2.32706766917293,23270.6766917293,0.075053268301299
1e-05,0.1,2.33834586466165,23383.4586466165,0.0752349223023098
1e-05,0.1,2.34962406015038,23496.2406015038,0.0754161387566508
1e-05,0.1,2.3609022556391,23609.022556391,0.0755969208109049
1e-05,0.1,2.37218045112782,23721.8045112782,0.0757772715741207
1e-05,0.1,2.38345864661654,23834.5864661654,0.0759571941184366
1e-05,0.1,2.39473684210526,23947.3684210526,0.0761366914796912
1e-05,0.1,2.40601503759398,24060.1503759399,0.076315766658021
1e-05,0.1,2.41729323308271,24172.9323308271,0.0764944226184453
1e-05,0.1,2.42857142857143,24285.7142857143,0.0766726622914396
1e-05,0.1,2.43984962406015,24398.4962406015,0.0768504885734955
1e-05,0.1,2.45112781954887,24511.2781954887,0.0770279043276706
1e-05,0.1,2.46240601503759,24624.0601503759,0.0772049123841262
1e-05,0.1,2.47368421052632,24736.8421052632,0.0773815155406536
1e-05,0.1,2.48496240601504,24849.6240601504,0.0775577165631908
1e-05,0.1,2.49624060150376,24962.4060150376,0.0777335181863272
1e-05,0.1,2.50751879699248,25075.1879699248,0.0779089231137992
1e-05,0.1,2.5187969924812,25187.969924812,0.0780839340189754
1e-05,0.1,2.53007518796993,25300.7518796993,0.0782585535453315
1e-05,0.1,2.54135338345865,25413.5338345865,0.0784327843069168
1e-05,0.1,2.55263157894737,25526.3157894737,0.0786066288888104
1e-05,0.1,2.56390977443609,25639.0977443609,0.0787800898475686
1e-05,0.1,2.57518796992481,25751.8796992481,0.0789531697116639
1e-05,0.1,2.58646616541353,25864.6616541353,0.0791258709819147
1e-05,0.1,2.59774436090226,25977.4436090226,0.0792981961319073
1e-05,0.1,2.60902255639098,26090.2255639098,0.0794701476084086
1e-05,0.1,2.6203007518797,26203.007518797,0.0796417278317722
1e-05,0.1,2.63157894736842,26315.7894736842,0.0798129391963352
1e-05,0.1,2.64285714285714,26428.5714285714,0.0799837840708084
1e-05,0.1,2.65413533834586,26541.3533834587,0.0801542647986589
1e-05,0.1,2.66541353383459,26654.1353383459,0.0803243836984844
1e-05,0.1,2.67669172932331,26766.9172932331,0.0804941430643819
1e-05,0.1,2.68796992481203,26879.6992481203,0.0806635451663079
1e-05,0.1,2.69924812030075,26992.4812030075,0.0808325922504333
1e-05,0.1,2.71052631578947,27105.2631578947,0.0810012865394904
1e-05,0.1,2.7218045112782,27218.045112782,0.081169630233114
1e-05,0.1,2.73308270676692,27330.8270676692,0.0813376255081759
1e-05,0.1,2.74436090225564,27443.6090225564,0.0815052745191137
1e-05,0.1,2.75563909774436,27556.3909774436,0.0816725793982528
1e-05,0.1,2.76691729323308,27669.1729323308,0.0818395422561229
1e-05,0.1,2.7781954887218,27781.954887218,0.0820061651817688
1e-05,0.1,2.78947368421053,27894.7368421053,0.0821724502430551
1e-05,0.1,2.80075187969925,28007.5187969925,0.0823383994869659
1e-05,0.1,2.81203007518797,28120.3007518797,0.0825040149398986
1e-05,0.1,2.82330827067669,28233.0827067669,0.0826692986079526
1e-05,0.1,2.83458646616541,28345.8646616541,0.0828342524772129
1e-05,0.1,2.84586466165414,28458.6466165414,0.0829988785140285
1e-05,0.1,2.85714285714286,28571.4285714286,0.083163178665286
1e-05,0.1,2.86842105263158,28684.2105263158,0.083327154858678
1e-05,0.1,2.8796992481203,28796.992481203,0.0834908090029671
1e-05,0.1,2.89097744360902,28909.7744360902,0.083654142988245
1e-05,0.1,2.90225563909774,29022.5563909774,0.0838171586861877
1e-05,0.1,2.91353383458647,29135.3383458647,0.0839798579503049
1e-05,0.1,2.92481203007519,29248.1203007519,0.0841422426161866
1e-05,0.1,2.93609022556391,29360.9022556391,0.0843043145017443
1e-05,0.1,2.94736842105263,29473.6842105263,0.0844660754074489
1e-05,0.1,2.95864661654135,29586.4661654135,0.0846275271165633
1e-05,0.1,2.96992481203007,29699.2481203008,0.0847886713953726
1e-05,0.1,2.9812030075188,29812.030075188,0.084949509993409
1e-05,0.1,2.99248120300752,29924.8120300752,0.0851100446436736
1e-05,0.1,3.00375939849624,30037.5939849624,0.0852702770628543
1e-05,0.1,3.01503759398496,30150.3759398496,0.0854302089515398
1e-05,0.1,3.02631578947368,30263.1578947368,0.0855898419944305
1e-05,0.1,3.03759398496241,30375.9398496241,0.0857491778605451
1e-05,0.1,3.04887218045113,30488.7218045113,0.0859082182034246
1e-05,0.1,3.06015037593985,30601.5037593985,0.0860669646613324
1e-05,0.1,3.07142857142857,30714.2857142857,0.086225418857451
1e-05,0.1,3.08270676691729,30827.0676691729,0.0863835824000757
1e-05,0.1,3.09398496240602,30939.8496240602,0.0865414568828056
1e-05,0.1,3.10526315789474,31052.6315789474,0.0866990438847298
1e-05,0.1,3.11654135338346,31165.4135338346,0.086856344970613
1e-05,0.1,3.12781954887218,31278.1954887218,0.0870133616910757
1e-05,0.1,3.1390977443609,31390.977443609,0.0871700955827729
1e-05,0.1,3.15037593984962,31503.7593984962,0.0873265481685701
1e-05,0.1,3.16165413533835,31616.5413533835,0.0874827209577149
1e-05,0.1,3.17293233082707,31729.3233082707,0.0876386154460078
1e-05,0.1,3.18421052631579,31842.1052631579,0.0877942331159687
1e-05,0.1,3.19548872180451,31954.8872180451,0.0879495754370018
1e-05,0.1,3.20676691729323,32067.6691729323,0.0881046438655573
1e-05,0.1,3.21804511278195,32180.4511278196,0.0882594398452908
1e-05,0.1,3.22932330827068,32293.2330827068,0.08841396480722
1e-05,0.1,3.2406015037594,32406.015037594,0.0885682201698789
1e-05,0.1,3.25187969924812,32518.7969924812,0.0887222073394704
1e-05,0.1,3.26315789473684,32631.5789473684,0.0888759277100149
1e-05,0.1,3.27443609022556,32744.3609022556,0.0890293826634983
1e-05,0.1,3.28571428571429,32857.1428571429,0.0891825735700166
1e-05,0.1,3.29699248120301,32969.9248120301,0.0893355017879188
1e-05,0.1,3.30827067669173,33082.7067669173,0.0894881686639472
1e-05,0.1,3.31954887218045,33195.4887218045,0.089640575533376
1e-05,0.1,3.33082706766917,33308.2706766917,0.0897927237201473
1e-05,0.1,3.34210526315789,33421.052631579,0.0899446145370056
1e-05,0.1,3.35338345864662,33533.8345864662,0.0900962492856298
1e-05,0.1,3.36466165413534,33646.6165413534,0.0902476292567631
1e-05,0.1,3.37593984962406,33759.3984962406,0.0903987557303417
1e-05,0.1,3.38721804511278,33872.1804511278,0.0905496299756206
1e-05,0.1,3.3984962406015,33984.962406015,0.0907002532512981
1e-05,0.1,3.40977443609023,34097.7443609023,0.0908506268056387
1e-05,0.1,3.42105263157895,34210.5263157895,0.0910007518765931
1e-05,0.1,3.43233082706767,34323.3082706767,0.0911506296919175
1e-05,0.1,3.44360902255639,34436.0902255639,0.091300261469291
1e-05,0.1,3.45488721804511,34548.8721804511,0.0914496484164303
1e-05,0.1,3.46616541353383,34661.6541353384,0.0915987917312043
1e-05,0.1,3.47744360902256,34774.4360902256,0.0917476926017454
1e-05,0.1,3.48872180451128,34887.2180451128,0.0918963522065603
1e-05,0.1,3.5,35000,0.0920447717146389
1e-05,0.1,3.51127819548872,35112.7819548872,0.0921929522855615
1e-05,0.1,3.52255639097744,35225.5639097744,0.0923408950696041
1e-05,0.1,3.53383458646617,35338.3458646617,0.0924886012078432
1e-05,0.1,3.54511278195489,35451.1278195489,0.0926360718322581
1e-05,0.1,3.55639097744361,35563.9097744361,0.0927833080658321
1e-05,0.1,3.56766917293233,35676.6917293233,0.0929303110226524
1e-05,0.1,3.57894736842105,35789.4736842105,0.0930770818080087
1e-05,0.1,3.59022556390977,35902.2556390977,0.0932236215184894
1e-05,0.1,3.6015037593985,36015.037593985,0.093369931242078
1e-05,0.1,3.61278195488722,36127.8195488722,0.093516012058247
1e-05,0.1,3.62406015037594,36240.6015037594,0.0936618650380506
1e-05,0.1,3.63533834586466,36353.3834586466,0.0938074912442169
1e-05,0.1,3.64661654135338,36466.1654135338,0.0939528917312376
1e-05,0.1,3.65789473684211,36578.9473684211,0.0940980675454575
1e-05,0.1,3.66917293233083,36691.7293233083,0.0942430197251621
1e-05,0.1,3.68045112781955,36804.5112781955,0.0943877493006646
1e-05,0.1,3.69172932330827,36917.2932330827,0.094532257294391
1e-05,0.1,3.70300751879699,37030.0751879699,0.0946765447209643
1e-05,0.1,3.71428571428571,37142.8571428571,0.0948206125872881
1e-05,0.1,3.72556390977444,37255.6390977444,0.094964461892628
1e-05,0.1,3.73684210526316,37368.4210526316,0.0951080936286929
1e-05,0.1,3.74812030075188,37481.2030075188,0.0952515087797145
1e-05,0.1,3.7593984962406,37593.984962406,0.0953947083225262
1e-05,0.1,3.77067669172932,37706.7669172932,0.0955376932266405
1e-05,0.1,3.78195488721805,37819.5488721805,0.0956804644543257
1e-05,0.1,3.79323308270677,37932.3308270677,0.0958230229606816
1e-05,0.1,3.80451127819549,38045.1127819549,0.0959653696937136
1e-05,0.1,3.81578947368421,38157.8947368421,0.0961075055944069
1e-05,0.1,3.82706766917293,38270.6766917293,0.0962494315967984
1e-05,0.1,3.83834586466165,38383.4586466165,0.0963911486280488
1e-05,0.1,3.84962406015038,38496.2406015038,0.096532657608513
1e-05,0.1,3.8609022556391,38609.022556391,0.0966739594518101
1e-05,0.1,3.87218045112782,38721.8045112782,0.0968150550648919
1e-05,0.1,3.88345864661654,38834.5864661654,0.0969559453481109
1e-05,0.1,3.89473684210526,38947.3684210526,0.0970966311952875
1e-05,0.1,3.90601503759398,39060.1503759399,0.0972371134937761
